Control ID,Check ID,Domain,Control Title,Control Path,Control Summary,Check Title,Security Functions,Threat Scenarios,Threat Actor or Source,Row Attack or Failure Scenario,Why This Check Is Required,Secure Examples,Required State,Responsible Role,Applies To,Verification Type,Verification Method,Expected Result,Required Evidence,Assessment Command,Assessment Platforms,SLSA Track,SLSA Requirement Levels,SLSA Minimum Level,SLSA Responsibility,SLSA Build L2 Scope,Framework Mappings,Mapping Status,Limitations,Implementation Status,Assessment Result,Evidence URL,Assignee,Due Date,Exception ID,Notes
PSB-GOV-001,PSB-GOV-001-INC-001,governance-operations,supply-chain incidentのbuild artifactと稼働deployment影響を即時特定する,controls/governance-operations/supply-chain-incident-readiness/README.md,SBOMとビルド証跡から汚染パッケージの影響をリポジトリ、ビルド、成果物、デプロイ先へ逆引きし、承認付きドライラン対応計画を生成する。,Exact package versions can be traced to affected products,detect; respond; verify; govern,SUPPLY-CHAIN-INCIDENT-UNKNOWN-BLAST-RADIUS: 汚染dependency発覚時に使用repository、build、artifact、credentialを特定できず、containmentと復旧が遅延する。; SUPPLY-CHAIN-RESPONSE-EVIDENCE-LOSS: 証跡保全前のcache削除やcredential失効、未承認の破壊的対応により調査可能性または可用性が損なわれる。; SUPPLY-CHAIN-RUNTIME-INVENTORY-GAP: SBOM対象artifactとactive deploymentのdigest関係が欠落し、稼働している影響serviceとenvironmentがincident scopeから漏れる。,compromised dependency maintainer or attacker introducing a malicious exact package version,responders know the package version but cannot identify affected repositories builds and artifacts,exact reverse lookup converts a dependency alert into an actionable and bounded incident scope,controls/governance-operations/supply-chain-incident-readiness/secure/inventory/application-a.cdx.json; controls/governance-operations/supply-chain-incident-readiness/secure/inventory/application-b.cdx.json; controls/governance-operations/supply-chain-incident-readiness/secure/build-records.json; controls/governance-operations/supply-chain-incident-readiness/secure/runbook.json; controls/governance-operations/supply-chain-incident-readiness/secure/dependency-track-policy.json; controls/governance-operations/supply-chain-incident-readiness/secure/dependency-track-response.json,repository build and artifact impact is queryable,incident-response,incident-response; sbom-inventory,automated,make verify-control CONTROL=PSB-GOV-001,an exact package version returns all linked repositories builds and artifacts,sanitized impact report,,,,,,,,"mitre-attack v19.1 / T1195.001 / detects / medium; nist-ssdf 1.1 (SP 800-218, 2022) / RV.1.1 / supports / high; nist-ssdf 1.1 (SP 800-218, 2022) / RV.2.1 / supports / high",reviewed,SBOMの完全性と鮮度が不足するとfalse negativeが生じる。; Exact package version照合は侵害の事実を証明しない。; Reference runbookはdry-runのみで外部systemを変更しない。; Scanner inventoryまたはrecord読取失敗をcleanな結果として扱ってはいけない。; Dependency-Track adapterは4.14.3のnormalized fixture contractでありlive API access project ACL pagination and analyzer freshness require organization evidence.; Dependency-Track 5系はbreaking API distribution and notification changesを再レビューしてからadapter versionを更新する。; Deployment fixture proves artifact-to-deployment identity linkage but not that every process-loaded library or ephemeral workload was observed.; Live deployment completeness freshness cluster scope and collector health require organization evidence and unavailable collection must not become no impact.,,,,,,,
PSB-GOV-001,PSB-GOV-001-INC-002,governance-operations,supply-chain incidentのbuild artifactと稼働deployment影響を即時特定する,controls/governance-operations/supply-chain-incident-readiness/README.md,SBOMとビルド証跡から汚染パッケージの影響をリポジトリ、ビルド、成果物、デプロイ先へ逆引きし、承認付きドライラン対応計画を生成する。,SBOM and build evidence remain integrity linked,detect; respond; verify; govern,SUPPLY-CHAIN-INCIDENT-UNKNOWN-BLAST-RADIUS: 汚染dependency発覚時に使用repository、build、artifact、credentialを特定できず、containmentと復旧が遅延する。; SUPPLY-CHAIN-RESPONSE-EVIDENCE-LOSS: 証跡保全前のcache削除やcredential失効、未承認の破壊的対応により調査可能性または可用性が損なわれる。; SUPPLY-CHAIN-RUNTIME-INVENTORY-GAP: SBOM対象artifactとactive deploymentのdigest関係が欠落し、稼働している影響serviceとenvironmentがincident scopeから漏れる。,stale inventory tampering or accidental mismatch between SBOM and build records,response decisions use an SBOM that does not correspond to the investigated build or evidence artifact,integrity links establish that inventory findings refer to the actual product build under investigation,controls/governance-operations/supply-chain-incident-readiness/secure/inventory/application-a.cdx.json; controls/governance-operations/supply-chain-incident-readiness/secure/inventory/application-b.cdx.json; controls/governance-operations/supply-chain-incident-readiness/secure/build-records.json; controls/governance-operations/supply-chain-incident-readiness/secure/runbook.json; controls/governance-operations/supply-chain-incident-readiness/secure/dependency-track-policy.json; controls/governance-operations/supply-chain-incident-readiness/secure/dependency-track-response.json,CycloneDX serial build record and evidence digest match,build-platform,sbom-inventory; build-evidence,automated,make verify-control CONTROL=PSB-GOV-001,incomplete or mismatched inventory records are rejected,sanitized verifier output,,,,,,,,"nist-ssdf 1.1 (SP 800-218, 2022) / RV.1.1 / supports / high",reviewed,SBOMの完全性と鮮度が不足するとfalse negativeが生じる。; Exact package version照合は侵害の事実を証明しない。; Reference runbookはdry-runのみで外部systemを変更しない。; Scanner inventoryまたはrecord読取失敗をcleanな結果として扱ってはいけない。; Dependency-Track adapterは4.14.3のnormalized fixture contractでありlive API access project ACL pagination and analyzer freshness require organization evidence.; Dependency-Track 5系はbreaking API distribution and notification changesを再レビューしてからadapter versionを更新する。; Deployment fixture proves artifact-to-deployment identity linkage but not that every process-loaded library or ephemeral workload was observed.; Live deployment completeness freshness cluster scope and collector health require organization evidence and unavailable collection must not become no impact.,,,,,,,
PSB-GOV-001,PSB-GOV-001-INC-003,governance-operations,supply-chain incidentのbuild artifactと稼働deployment影響を即時特定する,controls/governance-operations/supply-chain-incident-readiness/README.md,SBOMとビルド証跡から汚染パッケージの影響をリポジトリ、ビルド、成果物、デプロイ先へ逆引きし、承認付きドライラン対応計画を生成する。,Response planning preserves evidence before containment,detect; respond; verify; govern,SUPPLY-CHAIN-INCIDENT-UNKNOWN-BLAST-RADIUS: 汚染dependency発覚時に使用repository、build、artifact、credentialを特定できず、containmentと復旧が遅延する。; SUPPLY-CHAIN-RESPONSE-EVIDENCE-LOSS: 証跡保全前のcache削除やcredential失効、未承認の破壊的対応により調査可能性または可用性が損なわれる。; SUPPLY-CHAIN-RUNTIME-INVENTORY-GAP: SBOM対象artifactとactive deploymentのdigest関係が欠落し、稼働している影響serviceとenvironmentがincident scopeから漏れる。,rushed responder or unauthorized automation performing destructive containment,caches credentials or artifacts are removed before evidence capture causing investigation loss or outage,preservation-first owner-approved dry runs make response actions reviewable before changing production state,controls/governance-operations/supply-chain-incident-readiness/secure/inventory/application-a.cdx.json; controls/governance-operations/supply-chain-incident-readiness/secure/inventory/application-b.cdx.json; controls/governance-operations/supply-chain-incident-readiness/secure/build-records.json; controls/governance-operations/supply-chain-incident-readiness/secure/runbook.json; controls/governance-operations/supply-chain-incident-readiness/secure/dependency-track-policy.json; controls/governance-operations/supply-chain-incident-readiness/secure/dependency-track-response.json,owner-approved dry-run plan begins with evidence preservation,incident-response,incident-response,automated,make verify-control CONTROL=PSB-GOV-001,unsafe destructive or unapproved runbooks are rejected,generated dry-run response plan,,,,,,,,"nist-ssdf 1.1 (SP 800-218, 2022) / RV.2.1 / supports / high",reviewed,SBOMの完全性と鮮度が不足するとfalse negativeが生じる。; Exact package version照合は侵害の事実を証明しない。; Reference runbookはdry-runのみで外部systemを変更しない。; Scanner inventoryまたはrecord読取失敗をcleanな結果として扱ってはいけない。; Dependency-Track adapterは4.14.3のnormalized fixture contractでありlive API access project ACL pagination and analyzer freshness require organization evidence.; Dependency-Track 5系はbreaking API distribution and notification changesを再レビューしてからadapter versionを更新する。; Deployment fixture proves artifact-to-deployment identity linkage but not that every process-loaded library or ephemeral workload was observed.; Live deployment completeness freshness cluster scope and collector health require organization evidence and unavailable collection must not become no impact.,,,,,,,
PSB-GOV-001,PSB-GOV-001-INC-004,governance-operations,supply-chain incidentのbuild artifactと稼働deployment影響を即時特定する,controls/governance-operations/supply-chain-incident-readiness/README.md,SBOMとビルド証跡から汚染パッケージの影響をリポジトリ、ビルド、成果物、デプロイ先へ逆引きし、承認付きドライラン対応計画を生成する。,Impact detected no impact and verification failure are distinct,detect; respond; verify; govern,SUPPLY-CHAIN-INCIDENT-UNKNOWN-BLAST-RADIUS: 汚染dependency発覚時に使用repository、build、artifact、credentialを特定できず、containmentと復旧が遅延する。; SUPPLY-CHAIN-RESPONSE-EVIDENCE-LOSS: 証跡保全前のcache削除やcredential失効、未承認の破壊的対応により調査可能性または可用性が損なわれる。; SUPPLY-CHAIN-RUNTIME-INVENTORY-GAP: SBOM対象artifactとactive deploymentのdigest関係が欠落し、稼働している影響serviceとenvironmentがincident scopeから漏れる。,incomplete assessment tooling or responder misinterpreting no result as no impact,impacted no-impact and verification-failure outcomes collapse into one ambiguous status,distinct states determine whether to contain close or repair the assessment rather than guess,controls/governance-operations/supply-chain-incident-readiness/secure/inventory/application-a.cdx.json; controls/governance-operations/supply-chain-incident-readiness/secure/inventory/application-b.cdx.json; controls/governance-operations/supply-chain-incident-readiness/secure/build-records.json; controls/governance-operations/supply-chain-incident-readiness/secure/runbook.json; controls/governance-operations/supply-chain-incident-readiness/secure/dependency-track-policy.json; controls/governance-operations/supply-chain-incident-readiness/secure/dependency-track-response.json,separate exit states for each assessment outcome,incident-response,incident-response,automated,make verify-control CONTROL=PSB-GOV-001,verification failures can never be interpreted as no impact,negative-test output,,,,,,,,UNMAPPED — framework review required,unmapped,SBOMの完全性と鮮度が不足するとfalse negativeが生じる。; Exact package version照合は侵害の事実を証明しない。; Reference runbookはdry-runのみで外部systemを変更しない。; Scanner inventoryまたはrecord読取失敗をcleanな結果として扱ってはいけない。; Dependency-Track adapterは4.14.3のnormalized fixture contractでありlive API access project ACL pagination and analyzer freshness require organization evidence.; Dependency-Track 5系はbreaking API distribution and notification changesを再レビューしてからadapter versionを更新する。; Deployment fixture proves artifact-to-deployment identity linkage but not that every process-loaded library or ephemeral workload was observed.; Live deployment completeness freshness cluster scope and collector health require organization evidence and unavailable collection must not become no impact.,,,,,,,
PSB-GOV-001,PSB-GOV-001-INC-005,governance-operations,supply-chain incidentのbuild artifactと稼働deployment影響を即時特定する,controls/governance-operations/supply-chain-incident-readiness/README.md,SBOMとビルド証跡から汚染パッケージの影響をリポジトリ、ビルド、成果物、デプロイ先へ逆引きし、承認付きドライラン対応計画を生成する。,Incomplete inventory and unsafe runbooks fail validation,detect; respond; verify; govern,SUPPLY-CHAIN-INCIDENT-UNKNOWN-BLAST-RADIUS: 汚染dependency発覚時に使用repository、build、artifact、credentialを特定できず、containmentと復旧が遅延する。; SUPPLY-CHAIN-RESPONSE-EVIDENCE-LOSS: 証跡保全前のcache削除やcredential失効、未承認の破壊的対応により調査可能性または可用性が損なわれる。; SUPPLY-CHAIN-RUNTIME-INVENTORY-GAP: SBOM対象artifactとactive deploymentのdigest関係が欠落し、稼働している影響serviceとenvironmentがincident scopeから漏れる。,incomplete asset inventory unsafe runbook or unreviewed response configuration,response proceeds while products are missing from scope or destructive steps lack safeguards,validation blocks plans that could miss affected assets or damage evidence and availability,controls/governance-operations/supply-chain-incident-readiness/secure/inventory/application-a.cdx.json; controls/governance-operations/supply-chain-incident-readiness/secure/inventory/application-b.cdx.json; controls/governance-operations/supply-chain-incident-readiness/secure/build-records.json; controls/governance-operations/supply-chain-incident-readiness/secure/runbook.json; controls/governance-operations/supply-chain-incident-readiness/secure/dependency-track-policy.json; controls/governance-operations/supply-chain-incident-readiness/secure/dependency-track-response.json,complete integrity-linked inventory and safe runbook,incident-response,incident-response; sbom-inventory,automated,make verify-control CONTROL=PSB-GOV-001,insecure fixtures are rejected,negative-test output,,,,,,,,"nist-ssdf 1.1 (SP 800-218, 2022) / RV.1.1 / supports / high; nist-ssdf 1.1 (SP 800-218, 2022) / RV.2.1 / supports / high",reviewed,SBOMの完全性と鮮度が不足するとfalse negativeが生じる。; Exact package version照合は侵害の事実を証明しない。; Reference runbookはdry-runのみで外部systemを変更しない。; Scanner inventoryまたはrecord読取失敗をcleanな結果として扱ってはいけない。; Dependency-Track adapterは4.14.3のnormalized fixture contractでありlive API access project ACL pagination and analyzer freshness require organization evidence.; Dependency-Track 5系はbreaking API distribution and notification changesを再レビューしてからadapter versionを更新する。; Deployment fixture proves artifact-to-deployment identity linkage but not that every process-loaded library or ephemeral workload was observed.; Live deployment completeness freshness cluster scope and collector health require organization evidence and unavailable collection must not become no impact.,,,,,,,
PSB-GOV-001,PSB-GOV-001-INC-006,governance-operations,supply-chain incidentのbuild artifactと稼働deployment影響を即時特定する,controls/governance-operations/supply-chain-incident-readiness/README.md,SBOMとビルド証跡から汚染パッケージの影響をリポジトリ、ビルド、成果物、デプロイ先へ逆引きし、承認付きドライラン対応計画を生成する。,Dependency-Track portfolio impact query is exact complete and evidence linked,detect; respond; verify; govern,SUPPLY-CHAIN-INCIDENT-UNKNOWN-BLAST-RADIUS: 汚染dependency発覚時に使用repository、build、artifact、credentialを特定できず、containmentと復旧が遅延する。; SUPPLY-CHAIN-RESPONSE-EVIDENCE-LOSS: 証跡保全前のcache削除やcredential失効、未承認の破壊的対応により調査可能性または可用性が損なわれる。; SUPPLY-CHAIN-RUNTIME-INVENTORY-GAP: SBOM対象artifactとactive deploymentのdigest関係が欠落し、稼働している影響serviceとenvironmentがincident scopeから漏れる。,compromised dependency publisher incomplete project ACL failed analyzer or responder relying on a first-page name-only search,an exact affected release is omitted or an unrelated project is included because the portfolio query is stale partial ambiguous or disconnected from build evidence,complete exact remote search broadens incident scope while bidirectional local evidence linkage prevents the analysis platform result from becoming an unaudited source of truth,controls/governance-operations/supply-chain-incident-readiness/secure/inventory/application-a.cdx.json; controls/governance-operations/supply-chain-incident-readiness/secure/inventory/application-b.cdx.json; controls/governance-operations/supply-chain-incident-readiness/secure/build-records.json; controls/governance-operations/supply-chain-incident-readiness/secure/runbook.json; controls/governance-operations/supply-chain-incident-readiness/secure/dependency-track-policy.json; controls/governance-operations/supply-chain-incident-readiness/secure/dependency-track-response.json,exact CVE and component identity across all pages with fresh healthy inventory linked by project UUID version SBOM serial and PURL,incident-response,dependency-track; sbom-inventory; incident-response,hybrid,make verify-control CONTROL=PSB-GOV-001 and run a read-only organization Dependency-Track adapter,exact linked results pass while incomplete pagination outage stale data query mismatch or orphaned project evidence fails closed,sanitized Dependency-Track impact response; project UUID version SBOM serial and build-record linkage,,,,,,,,"mitre-attack v19.1 / T1195.001 / detects / medium; nist-ssdf 1.1 (SP 800-218, 2022) / RV.1.1 / supports / high; nist-ssdf 1.1 (SP 800-218, 2022) / RV.2.1 / supports / high",reviewed,SBOMの完全性と鮮度が不足するとfalse negativeが生じる。; Exact package version照合は侵害の事実を証明しない。; Reference runbookはdry-runのみで外部systemを変更しない。; Scanner inventoryまたはrecord読取失敗をcleanな結果として扱ってはいけない。; Dependency-Track adapterは4.14.3のnormalized fixture contractでありlive API access project ACL pagination and analyzer freshness require organization evidence.; Dependency-Track 5系はbreaking API distribution and notification changesを再レビューしてからadapter versionを更新する。; Deployment fixture proves artifact-to-deployment identity linkage but not that every process-loaded library or ephemeral workload was observed.; Live deployment completeness freshness cluster scope and collector health require organization evidence and unavailable collection must not become no impact.,,,,,,,
PSB-GOV-001,PSB-GOV-001-INC-007,governance-operations,supply-chain incidentのbuild artifactと稼働deployment影響を即時特定する,controls/governance-operations/supply-chain-incident-readiness/README.md,SBOMとビルド証跡から汚染パッケージの影響をリポジトリ、ビルド、成果物、デプロイ先へ逆引きし、承認付きドライラン対応計画を生成する。,Active deployments are linked to exact SBOM artifacts,detect; respond; verify; govern,SUPPLY-CHAIN-INCIDENT-UNKNOWN-BLAST-RADIUS: 汚染dependency発覚時に使用repository、build、artifact、credentialを特定できず、containmentと復旧が遅延する。; SUPPLY-CHAIN-RESPONSE-EVIDENCE-LOSS: 証跡保全前のcache削除やcredential失効、未承認の破壊的対応により調査可能性または可用性が損なわれる。; SUPPLY-CHAIN-RUNTIME-INVENTORY-GAP: SBOM対象artifactとactive deploymentのdigest関係が欠落し、稼働している影響serviceとenvironmentがincident scopeから漏れる。,stale deployment collector mutable image tag or incomplete environment inventory,responders identify a vulnerable release artifact but cannot determine which active environments run those exact bytes,digest-bound deployment relationships convert release impact into an actionable runtime scope without treating an image name or latest tag as identity,controls/governance-operations/supply-chain-incident-readiness/secure/inventory/application-a.cdx.json; controls/governance-operations/supply-chain-incident-readiness/secure/inventory/application-b.cdx.json; controls/governance-operations/supply-chain-incident-readiness/secure/build-records.json; controls/governance-operations/supply-chain-incident-readiness/secure/runbook.json; controls/governance-operations/supply-chain-incident-readiness/secure/dependency-track-policy.json; controls/governance-operations/supply-chain-incident-readiness/secure/dependency-track-response.json,immutable deployment ID environment observation time and exact artifact digest match the build record,incident-response,deployment-inventory; sbom-inventory; incident-response,hybrid,make verify-control CONTROL=PSB-GOV-001 and inspect the organization deployment inventory collector,mismatched mutable duplicate inactive or malformed deployment observations are rejected,sanitized deployment impact result; deployment inventory collector evidence,,,,,,,,"nist-ssdf 1.1 (SP 800-218, 2022) / RV.1.1 / supports / high; nist-ssdf 1.1 (SP 800-218, 2022) / RV.2.1 / supports / high",reviewed,SBOMの完全性と鮮度が不足するとfalse negativeが生じる。; Exact package version照合は侵害の事実を証明しない。; Reference runbookはdry-runのみで外部systemを変更しない。; Scanner inventoryまたはrecord読取失敗をcleanな結果として扱ってはいけない。; Dependency-Track adapterは4.14.3のnormalized fixture contractでありlive API access project ACL pagination and analyzer freshness require organization evidence.; Dependency-Track 5系はbreaking API distribution and notification changesを再レビューしてからadapter versionを更新する。; Deployment fixture proves artifact-to-deployment identity linkage but not that every process-loaded library or ephemeral workload was observed.; Live deployment completeness freshness cluster scope and collector health require organization evidence and unavailable collection must not become no impact.,,,,,,,
PSB-GOV-002,PSB-GOV-002-GEX-001,governance-operations,Enforce exact independently approved time-bound security exceptions,controls/governance-operations/time-bound-security-exceptions/README.md,controlとcheck、対象、risk、owner、独立承認、代替策、期限を共通契約へ固定し、完全な例外台帳から有効・失効間近・期限切れ・不正をfail-closedで導出する。,Exception scope binds one cataloged control check target and environment,verify; respond; govern,SECURITY-EXCEPTION-SCOPE-EXPANSION: A wildcard or ambiguous exception disables security enforcement beyond the reviewed target and environment.; SECURITY-EXCEPTION-SELF-APPROVAL: A control owner accepts their own risk without an independent reviewer or accountable approval decision.; SECURITY-EXCEPTION-PERMANENCE: An exception remains effective after its reviewed context and remediation deadline have expired.; SECURITY-EXCEPTION-REGISTER-TAMPERING: An exception is deleted added or modified outside the complete integrity-bound register while enforcement continues.; SECURITY-EXCEPTION-EVIDENCE-LEAK: Approval evidence copies credentials source code production payloads or other sensitive content into a wider audit system.; SECURITY-EXCEPTION-FAIL-OPEN: Missing stale malformed or unavailable exception evidence is interpreted as an approved exception or clean result.,contributor operator or approver using a broad selector accidentally or to bypass unrelated security decisions,one approved case suppresses all scanner findings dependencies repositories builds or environments because its scope is ambiguous,an exception can be safely evaluated only when the authorized decision and the enforcement target use the same exact identifiers,controls/governance-operations/time-bound-security-exceptions/secure/policy.yaml; controls/governance-operations/time-bound-security-exceptions/secure/exceptions/active-dependency.yaml; controls/governance-operations/time-bound-security-exceptions/secure/exceptions/expiring-scanner.yaml; controls/governance-operations/time-bound-security-exceptions/secure/register.json; controls/governance-operations/time-bound-security-exceptions/scripts/verify.py,every exception names one existing control and check pair plus an exact allowed target type target identifier and environment without wildcard scope,security,security-exception; control-catalog; enforcement-target,automated,compare exception control_id and check_id with repository metadata and reject wildcard target or environment values,exact existing pairs pass while wildcard unknown and mismatched pairs fail,normalized exception state without target payload; catalog mismatch negative-test output,,,,,,,,openssf-osps-baseline 2026.02.19 / OSPS-QA-03.01 / supports / medium,reviewed,Repository fixtures do not prove that a production ticket system policy engine or deployment gate enforces the evaluated decision.; SHA-256 detects mismatch against the supplied register but does not prevent an actor with write access from changing both files and hashes so independent immutable approval evidence remains necessary.; Production evaluation requires a trusted UTC time source and must not let exception beneficiaries choose an earlier evaluation time.; The fixed schema prevents payload fields and detects representative credential patterns but cannot recognize every sensitive value hidden inside free text.; Existing control-local exception formats require staged adapters and drift monitoring until migration to the shared interface is complete.; A valid exception documents bounded accepted risk and never changes the underlying failed security condition into PASS.; Passing fixtures do not establish formal NIST SSDF or OpenSSF Baseline compliance.,,,,,,,
PSB-GOV-002,PSB-GOV-002-GEX-002,governance-operations,Enforce exact independently approved time-bound security exceptions,controls/governance-operations/time-bound-security-exceptions/README.md,controlとcheck、対象、risk、owner、独立承認、代替策、期限を共通契約へ固定し、完全な例外台帳から有効・失効間近・期限切れ・不正をfail-closedで導出する。,Owner risk reviewer and approver are independently accountable,verify; respond; govern,SECURITY-EXCEPTION-SCOPE-EXPANSION: A wildcard or ambiguous exception disables security enforcement beyond the reviewed target and environment.; SECURITY-EXCEPTION-SELF-APPROVAL: A control owner accepts their own risk without an independent reviewer or accountable approval decision.; SECURITY-EXCEPTION-PERMANENCE: An exception remains effective after its reviewed context and remediation deadline have expired.; SECURITY-EXCEPTION-REGISTER-TAMPERING: An exception is deleted added or modified outside the complete integrity-bound register while enforcement continues.; SECURITY-EXCEPTION-EVIDENCE-LEAK: Approval evidence copies credentials source code production payloads or other sensitive content into a wider audit system.; SECURITY-EXCEPTION-FAIL-OPEN: Missing stale malformed or unavailable exception evidence is interpreted as an approved exception or clean result.,control owner under delivery pressure compromised identity or insider seeking an unreviewed bypass,the person benefiting from disabled enforcement also evaluates and approves the accepted risk,separation of duties adds an independent challenge and records who remains accountable for risk and approval,controls/governance-operations/time-bound-security-exceptions/secure/policy.yaml; controls/governance-operations/time-bound-security-exceptions/secure/exceptions/active-dependency.yaml; controls/governance-operations/time-bound-security-exceptions/secure/exceptions/expiring-scanner.yaml; controls/governance-operations/time-bound-security-exceptions/secure/register.json; controls/governance-operations/time-bound-security-exceptions/scripts/verify.py,owner risk reviewer and approver are stable non-wildcard team identities and no one identity fills multiple decision roles,security,risk-acceptance; approval-workflow,automated,validate stable identity syntax and require three distinct owner reviewer and approver values,self-approved and role-collapsed records are invalid,sanitized decision-role identifiers; self-approval negative-test output,,,,,,,,"nist-ssdf 1.1 (SP 800-218, 2022) / RV.2.1 / supports / medium",reviewed,Repository fixtures do not prove that a production ticket system policy engine or deployment gate enforces the evaluated decision.; SHA-256 detects mismatch against the supplied register but does not prevent an actor with write access from changing both files and hashes so independent immutable approval evidence remains necessary.; Production evaluation requires a trusted UTC time source and must not let exception beneficiaries choose an earlier evaluation time.; The fixed schema prevents payload fields and detects representative credential patterns but cannot recognize every sensitive value hidden inside free text.; Existing control-local exception formats require staged adapters and drift monitoring until migration to the shared interface is complete.; A valid exception documents bounded accepted risk and never changes the underlying failed security condition into PASS.; Passing fixtures do not establish formal NIST SSDF or OpenSSF Baseline compliance.,,,,,,,
PSB-GOV-002,PSB-GOV-002-GEX-003,governance-operations,Enforce exact independently approved time-bound security exceptions,controls/governance-operations/time-bound-security-exceptions/README.md,controlとcheck、対象、risk、owner、独立承認、代替策、期限を共通契約へ固定し、完全な例外台帳から有効・失効間近・期限切れ・不正をfail-closedで導出する。,Risk rationale compensation approval and remediation are actionable,verify; respond; govern,SECURITY-EXCEPTION-SCOPE-EXPANSION: A wildcard or ambiguous exception disables security enforcement beyond the reviewed target and environment.; SECURITY-EXCEPTION-SELF-APPROVAL: A control owner accepts their own risk without an independent reviewer or accountable approval decision.; SECURITY-EXCEPTION-PERMANENCE: An exception remains effective after its reviewed context and remediation deadline have expired.; SECURITY-EXCEPTION-REGISTER-TAMPERING: An exception is deleted added or modified outside the complete integrity-bound register while enforcement continues.; SECURITY-EXCEPTION-EVIDENCE-LEAK: Approval evidence copies credentials source code production payloads or other sensitive content into a wider audit system.; SECURITY-EXCEPTION-FAIL-OPEN: Missing stale malformed or unavailable exception evidence is interpreted as an approved exception or clean result.,rushed decision maker or attacker hiding a bypass behind an empty generic or unactionable exception record,reviewers cannot determine what risk was accepted how exposure is reduced or which tracked work will remove the exception,exception expiry alone does not create a risk response unless interim protection and accountable remediation are reviewable,controls/governance-operations/time-bound-security-exceptions/secure/policy.yaml; controls/governance-operations/time-bound-security-exceptions/secure/exceptions/active-dependency.yaml; controls/governance-operations/time-bound-security-exceptions/secure/exceptions/expiring-scanner.yaml; controls/governance-operations/time-bound-security-exceptions/secure/register.json; controls/governance-operations/time-bound-security-exceptions/scripts/verify.py,meaningful justification and risk statements name non-empty compensating controls and distinct exact approval and remediation tickets,security,risk-analysis; compensating-control; remediation-plan,automated,validate minimum rationale lengths non-empty unique compensating controls and exact distinct ticket identifiers,generic risk text missing compensation and absent or reused tickets are invalid,sanitized rationale metadata; policy validation output,,,,,,,,"nist-ssdf 1.1 (SP 800-218, 2022) / RV.2.1 / supports / medium",reviewed,Repository fixtures do not prove that a production ticket system policy engine or deployment gate enforces the evaluated decision.; SHA-256 detects mismatch against the supplied register but does not prevent an actor with write access from changing both files and hashes so independent immutable approval evidence remains necessary.; Production evaluation requires a trusted UTC time source and must not let exception beneficiaries choose an earlier evaluation time.; The fixed schema prevents payload fields and detects representative credential patterns but cannot recognize every sensitive value hidden inside free text.; Existing control-local exception formats require staged adapters and drift monitoring until migration to the shared interface is complete.; A valid exception documents bounded accepted risk and never changes the underlying failed security condition into PASS.; Passing fixtures do not establish formal NIST SSDF or OpenSSF Baseline compliance.,,,,,,,
